OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set,Blink
39.7780,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
43.3970,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
44.4190,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
46.6360,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
48.0390,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
49.6550,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
75.9620,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
77.2640,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
78.5840,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
80.1800,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
90.4490,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
91.6490,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
108.0670,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
112.3850,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
118.8090,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
119.9250,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
120.6290,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
126.7660,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
131.5840,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
132.9850,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
163.8510,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
165.2670,EMG1,0.7290,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
177.0090,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
177.8270,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
179.0270,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
250.1400,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
256.1600,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
257.6510,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
259.0780,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
259.6560,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
259.7820,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
261.3980,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
320.7770,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
322.9000,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
323.0080,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
326.3270,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
327.9020,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
329.3220,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
330.1640,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
331.4660,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
332.9840,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
335.2420,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
337.0600,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
357.3620,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
367.2680,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
369.1650,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
371.0880,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
372.8890,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
374.7030,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
396.9060,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
398.8240,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
400.3260,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
403.7440,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
495.6180,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
497.1180,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
499.5390,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
502.4590,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
521.7410,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
524.6770,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
528.2220,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
529.0120,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
535.5160,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
538.5530,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
542.3890,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
549.4320,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
550.9290,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
554.4720,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
555.2690,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
556.6900,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
562.6120,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
565.2300,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
566.5940,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
567.2500,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
569.8690,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
570.5270,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
571.5460,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
574.2640,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
629.9740,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
630.7930,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
632.2930,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
633.9120,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
636.6810,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
639.7510,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
729.6470,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
734.2690,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
754.0400,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
756.7560,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
762.9440,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
764.7660,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
767.3860,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
773.5220,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
780.6960,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
820.0500,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
821.1770,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
822.1960,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
823.7960,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
824.9870,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
837.7340,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
875.8850,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
877.0880,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
57.1750,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03,Accept
60.0960,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03,Accept
61.7120,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03,Accept
63.1130,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03,Accept
65.4310,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03,Accept
66.3520,EMG1,0.5360,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,03,Accept
67.1950,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
69.1130,MISS,0,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,04,Accept
70.9120,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
72.9320,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
77.0500,MISS,0,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,04,Accept
82.4550,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
83.6770,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
87.7920,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
88.5130,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
89.5070,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
94.4530,MISS,0,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,04,Accept
112.0470,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
112.9650,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
117.5040,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
199.0280,MISS,0,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,01,Accept
199.8290,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01,Accept
207.4020,MISS,0,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,01,Accept
211.6140,MISS,0,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,03,Accept
216.2340,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03,Accept
217.3520,MISS,0,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,03,Accept
219.1560,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03,Accept
219.4320,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
221.6810,MISS,0,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,01,Accept
243.3850,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
247.1230,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
263.0190,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
264.7200,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
266.3360,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
267.6380,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
270.1560,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
272.9520,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01,Accept
276.2740,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01,Accept
278.0810,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04,Accept
279.7650,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
282.4940,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01,Accept
289.1910,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
290.6080,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
293.9250,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
299.1630,EMG1,0.5050,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,02,Accept
307.0680,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
311.5060,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
313.9240,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
315.3420,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
316.5440,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
317.7580,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
337.9610,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
339.4810,MISS,0,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,02,Accept
344.5990,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02,Accept
