OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set,Blink
73.5900,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
78.9910,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
80.2090,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
84.3280,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
85.0490,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
86.0440,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
95.4520,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
98.8710,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
100.5890,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
101.3890,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
118.3220,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
119.3270,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
121.0410,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
132.9650,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
137.7660,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
139.1870,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
141.0880,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
141.9080,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
143.5070,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
178.5780,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
179.3820,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
180.6000,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
252.6930,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
255.6140,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
256.3170,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
257.9300,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
259.5540,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
261.2550,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
262.8560,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
