OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
40.8880,EMG1,0.4410,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
42.0390,EMG1,0.4960,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
42.2040,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
43.1570,EMG1,0.3570,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
43.8580,EMG1,1.3680,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
43.9140,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
44.0220,EMG1,0.3550,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
44.1250,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
44.7190,EMG1,0.5300,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
44.7300,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
44.8720,EMG1,0.3540,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
45.7430,EMG1,0.5620,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
45.8240,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
46.2740,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
46.4430,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
46.6320,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
46.8430,EMG1,1.5030,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
47.2860,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
47.9410,EMG1,0.4050,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
48.1500,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
48.2560,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
48.8920,EMG1,0.4830,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
48.9510,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
49.0600,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
49.8900,EMG1,0.3770,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
49.9650,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
50.2600,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
50.4600,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
50.6150,EMG1,0.5830,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
51.3690,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
51.5140,EMG1,1.1090,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
51.8680,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
52.0800,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
52.2330,EMG1,0.3900,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
53.3320,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
53.3900,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
53.5850,EMG1,0.5040,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
55.2800,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
55.3890,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
56.3070,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
56.4960,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
56.6820,EMG1,0.4140,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
57.5520,EMG1,1.8050,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
58.1020,EMG1,0.4740,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
58.2000,EMG1,0.4620,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
58.3050,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
58.9530,EMG1,0.4040,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
59.0170,EMG1,0.4770,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
59.6010,EMG1,1.3540,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
59.9720,EMG1,1.9550,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
60.4160,EMG1,0.5390,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
61.5210,EMG1,0.4410,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
61.5690,EMG1,0.3580,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
62.5300,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
63.3910,EMG1,0.3360,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
64.1100,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04
64.1350,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
64.2910,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
64.9370,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,01
65.1050,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
65.5530,EMG1,1.1060,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
66.0230,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04
66.2080,EMG1,1.0810,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
66.2560,EMG1,0.4030,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
66.5390,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,01
66.9250,EMG1,0.3640,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
67.6590,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,01
67.8340,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04
67.8760,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
68.2280,EMG1,1.6930,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
68.7750,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
69.5440,EMG1,0.3770,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
69.6570,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,01
69.8520,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04
71.3450,EMG1,0.4670,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
71.4490,EMG1,0.5240,Real,Present,AttendFull,Coerced,Left,Visible,0.00,04
72.1680,MISS,0,Real,Present,AttendFull,Coerced,Left,Visible,0.00,04
72.3910,EMG1,0.3930,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,03
73.2720,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,01
73.9680,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04
74.0960,EMG1,0.4320,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,03
75.0830,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,01
75.8970,EMG1,0.4810,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,03
75.9990,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,01
76.7670,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,02
77.0170,EMG1,0.5910,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,03
77.3000,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
77.7680,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,02
77.8140,EMG1,0.5480,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,03
78.6010,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
78.7320,EMG1,0.3600,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,03
79.3930,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
79.7860,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,02
79.9350,EMG1,0.4170,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,03
80.2190,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
80.5930,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
80.6850,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,02
81.5050,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,02
81.6520,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,03
81.8240,EMG1,0.4680,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,01
82.2120,EMG1,0.4550,Real,Present,AttendRight,Coerced,Right,Visible,0.00,04
82.9530,EMG1,1.6000,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,03
83.0020,EMG1,1.9950,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,02
83.1100,EMG1,0.4710,Real,Present,AttendRight,Coerced,Right,Visible,0.00,04
83.5420,EMG1,0.4290,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,01
84.1680,EMG1,0.3850,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,03
